state,district_name,odop_product_name,odop_gi_tag,min_setup_cost,max_setup_cost,gross_margin_d2c,breakeven_timeline,opportunity_score,why_this_district,page_slug
Odisha,Koraput,Cashew,No,400000,2500000,50-65%,10-16 months,7,"Koraput has laterite soil and sub-humid tropical climate that naturally suit cashew plantation. Raw materials (cashew apples, husks, shells) are abundant within 50km of processing hubs. Over 15,000 small and marginal farmers cultivate cashew across Koraput and Nabarangpur blocks, creating reliable supply.",cashew-koraput
Odisha,Malkangiri,Millets,No,250000,1200000,50-65%,10-16 months,7,"Malkangiri's 5791 sq km area spans challenging terrain where millets thrive in poor soil and drought conditions, making it naturally suited for millet farming. The district's 1045 villages provide a distributed raw material base with minimal supply chain friction. Proximity to tribal markets in eastern Odisha and buyer access to FMCG companies seeking organic grains makes this a strategic sourcing point.",millets-malkangiri
Odisha,Mayurbhanj,Rice,No,250000,1500000,50-65%,9-16 months,7,Mayurbhanj's agro-climatic conditions are naturally suited to Rose matta Rice cultivation. The district has a 50+ year tradition of Mugei Chaula farming with established farmer networks. Water-efficient traditional varieties thrive here due to seasonal rainfall patterns and soil composition ideal for red rice production.,rice-mayurbhanj
Odisha,Nabarangpur,Maize,No,150000,2500000,45-60%,10-16 months,8,"Nabarangpur is India's maize heartland in Odisha, cultivated across 62,366 hectares with established farming infrastructure and 92% adoption of High Yielding Variety seeds. Raw maize supply is guaranteed year-round with nearby maize mills and processing units ensuring consistent quality. Buyer markets in Chhattisgarh, West Bengal, Andhra Pradesh, and Karnataka are within 500-1000 km, making logistics viable for both wholesale and export channels.",maize-nabarangpur
Odisha,Nayagarh,Brass and Bell Metal,No,150000,1200000,52-68%,10-16 months,7,"Nayagarh has 7 active brass and bell metal clusters (Kantilo, Bhuban, Balakati, Bhatimunda, Belaguntha, Remuna, Tarabha) with skilled Kansari artisans trained over generations. Copper and tin are locally sourced at 4:1 ratio, reducing raw material costs. The district sits within reach of major markets: Cuttack (metalware hub), Bhubaneswar (retail/institutional), and coastal ports for export.",brass-and-bell-metal-nayagarh
Odisha,Nuapada,Cotton,No,750000,3500000,58-72%,10-16 months,,"Nuapada's agro-climatic conditions—black soil, moderate rainfall (1000-1200mm annually), and warm temperatures—create ideal growing conditions for both long-staple and medium-staple cotton. The district has a 40+ year legacy of cotton farming with established farmer networks and access to traditional organic farming knowledge.",cotton-nuapada
Odisha,Puri,Orissa Pattachitra,No,150000,800000,60-75%,12-18 months,8,"Puri is the historical birthplace of Pattachitra, with artisan communities concentrated around Jagannath Temple area and pilgrimage towns. Natural pigment sources from Odisha's mineral belt and palm leaf paper from local suppliers enable low raw material costs. Pattachitra clusters in Puri town and surrounding villages produce hand-painted pieces for temple offerings, tourist markets, and export buyers.",orissa-pattachitra-puri
Odisha,Rayagada,Cotton,No,2500000,8000000,45-60%,12-18 months,,"Rayagada's favourable climate, alluvial soil, and established canal irrigation systems create ideal conditions for high-quality cotton cultivation. The district has a strong tradition of cotton farming with skilled farmers familiar with traditional methods that preserve fibre quality. Proximity to textile hubs in Odisha and access to markets in Maharashtra and Gujarat provide natural export advantages.",cotton-rayagada
Odisha,Sambalpur,Sambalpuri Bandha Saree,No,180000,750000,50-65%,9-16 months,7,"Sambalpur sits on a 300+ year old weaving tradition originating from the Bhulia community in mid-17th century, with raw material supply chains for cotton, silk, and tassar yarn already established locally. Bargarh cluster alone operates 7158 looms across 299 villages with 5102 active looms, and both Bargarh and Sonepur are among India's 20 pilot Handloom Clusters. Proximity to wholesale markets in Cuttack (120 km) and direct access to weavers makes sourcing and production efficient.",sambalpuri-bandha-saree-sambalpur
Odisha,Sonepur (Subarnapur),Bomkai Saree & Fabrics,No,180000,1200000,58-72%,10-16 months,8,"Sonepur district sits in western Odisha where cotton and silk thread raw materials are locally sourced. The three active clusters (Sonepur, Subarnapur, Kantapalli) house 800+ registered weavers trained in 600-year-old Jala technique handloom methods. Buyers span metro wedding markets (Delhi, Mumbai, Bangalore) and direct exports to Japan, Germany, USA.",bomkai-saree-fabrics-sonepur-subarnapur
Odisha,Sundergarh,Bamboo Craft,No,180000,800000,60-75%,9-16 months,7,"Sundergarh has abundant bamboo forests with three cultivated species (Bambusa Tulda, Bambusa Bambos, Dendrocalamus Strictus) available within 50 km of production clusters. The district has trained artisans with 2-3 generations of craft knowledge. Proximity to construction hubs in Chhattisgarh and buyer markets in Bengal make this a cost-advantaged base.",bamboo-craft-sundergarh
Puducherry,Karaikal,Chemicals and Allied Products,No,4500000,18000000,35-50%,12-18 months,6,"Karaikal is a coastal union territory with strategic proximity to Tamil Nadu's chemical hubs and port access via Pondicherry. The district hosts 109 registered chemical manufacturers including established companies like BALA MURUGAN CHEMICALS (₹40 Cr capital), enabling raw material availability and supply chain integration. Buyer markets include pharma companies across South India, textile dyes industries, and petrochemical facilities within 200 km.",chemicals-and-allied-products-karaikal
Puducherry,Mahe,Coir Products,No,250000,2500000,58-72%,10-16 months,,"Mahe's coastal location in Puducherry provides abundant coconut husk raw material from local plantations. The district has a long-established coir manufacturing tradition with skilled artisans, existing processing units, and established export networks to Europe and North America.",coir-products-mahe
Puducherry,Puducherry,Pharmaceutical and Allied Products,No,50000000,500000000,50-65%,18-24 months,,"Puducherry hosts a concentration of pharmaceutical manufacturing units with advanced infrastructure, skilled workforce, and strong regulatory compliance frameworks. The region benefits from proximity to major ports, established supply chains, and government incentives for pharma manufacturing. A robust ecosystem of contract manufacturers, quality testing labs, and logistics networks makes it ideal for pharmaceutical production and export.",pharmaceutical-and-allied-products-puducherry
Puducherry,Yanam,Fisheries and Allied Products,No,300000,2500000,50-65%,10-16 months,8,"Yanam sits on the Coringa River delta where it branches from the Gauthami, providing direct access to one of India's richest coastal fishing grounds. The district has 28,767 actively engaged fishermen across 38 marine fishing villages plus 12 inland hamlets, creating a mature supply chain for raw fish, shrimp, and seafood. Puducherry UT's 1,000 sq km continental shelf and 26 landing centres mean daily catch supply is guaranteed.",fisheries-and-allied-products-yanam
Punjab,Amritsar,Embroidery,No,150000,750000,60-75%,9-16 months,8,"Amritsar sits at the Indo-Pakistan border with direct access to Central Asian and Middle Eastern markets. The district has a concentrated cluster of 500+ embroidery artisans in the walled city and surrounding areas, with raw material suppliers (threads, fabrics, dyes) embedded in local haat networks. Proximity to Delhi markets (430 km) and direct air/rail links make it ideal for D2C and export operations.",embroidery-amritsar
Punjab,Barnala,Textile-Towels,No,150000,800000,50-65%,10-16 months,6,"Barnala has a concentrated cluster of handloom weavers skilled in terry towel production around Barnala town. Cotton and bamboo raw materials are sourced locally and from nearby Punjab districts. The district is 240 km from Delhi and 150 km from Chandigarh, providing direct market access to North Indian hotels, spas, and e-commerce distribution hubs.",textile-towels-barnala
Punjab,Bathinda,Citrus Fruits (Kinnow),No,800000,2500000,50-65%,18-24 months,8,"Bathinda's fertile alluvial soil and semi-arid climate create ideal conditions for kinnow cultivation with optimal soil pH between 5.5-7.5. The district has established irrigation infrastructure supporting 10-15 day summer and 20-25 day winter cycles, and direct connectivity to Delhi, Mumbai, and Kolkata wholesale markets via NH 15 and rail networks.",citrus-fruits-kinnow-bathinda
Punjab,Faridkot,Basmati (Rice),No,850000,4500000,45-60%,10-16 months,8,Faridkot's alluvial soil and irrigation infrastructure from the Sutlej River system create ideal basmati growing conditions. The district sits within the basmati geographical indication zone and has 120+ years of cultivation tradition. Direct access to mandi systems at Kotkapura and Faridkot city connects to 24 lakh metric tonnes of annual Indian basmati trade.,basmati-rice-faridkot
